museum,title,raw_text,year,period,url
Pushkin Museum,Выставка участников архивной школы «Центр без центра»,Выставка участников архивной школы «Центр без центра» 24 сентября – 21 ноября 2021,2021,pre_2022,https://pushkinmuseum.art/museum/branches/ekb/events/vystavka_uchastnikov_arhivnoi_skoly/index.php?lang=ru
Pushkin Museum,Этюды о рисунках. Итальянский вклад в русский символизм,Этюды о рисунках. Итальянский вклад в русский символизм 27 июля – 05 октября 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/drawings/index.php?lang=ru
Pushkin Museum,Музы Монпарнаса,Музы Монпарнаса 15 июля – 03 октября 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/montparnasse/index.php?lang=ru
Pushkin Museum,"Сиена на заре Ренессанса. Произведения из Национальной пинакотеки в Сиене, Государственного архива Сиены, музеев Тосканы и ГМИИ им. А.С. Пушкина","Сиена на заре Ренессанса. Произведения из Национальной пинакотеки в Сиене, Государственного архива Сиены, музеев Тосканы и ГМИИ им. А.С. Пушкина 25 июня – 10 октября 2021",2021,pre_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/siena/index.php?lang=ru
Pushkin Museum,Не живопись. Декоративно-прикладное искусство из коллекции ГМИИ им. А.С. Пушкина,Не живопись. Декоративно-прикладное искусство из коллекции ГМИИ им. А.С. Пушкина 20 апреля – 20 июня 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/gallery/index.php?lang=ru
Pushkin Museum,"«Грузинские палестины» Святослава Рихтера. Экспонаты из ГМИИ им. А.С. Пушкина, собраний В. Геловани и В. Платонова","«Грузинские палестины» Святослава Рихтера. Экспонаты из ГМИИ им. А.С. Пушкина, собраний В. Геловани и В. Платонова 20 марта – 20 июня 2021",2021,pre_2022,https://pushkinmuseum.art/events/archive/2021/exhibitions/richter/index.php?lang=ru
Pushkin Museum,Билл Виола. Путешествие души,Билл Виола. Путешествие души 02 марта – 30 мая 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/viola/index.php?lang=ru
Pushkin Museum,Хранители. Братство ключа,Хранители. Братство ключа 08 декабря 2020 – 30 мая 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/coins/index.php?lang=ru
Pushkin Museum,Реклама как искусство. Британский постер конца XIX – начала XX века из собрания ГМИИ им. А.С. Пушкина,Реклама как искусство. Британский постер конца XIX – начала XX века из собрания ГМИИ им. А.С. Пушкина 20 октября 2020 – 28 марта 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/posters/index.php?lang=ru
Pushkin Museum,Выставка «Смотри изнутри»,Выставка «Смотри изнутри» 15 октября 2020 – 14 февраля 2021,2021,pre_2022,https://pushkinmuseum.art/events/archive/2020/others/everybodyispresent/exhibition/index.php?lang=ru
Pushkin Museum,Как Пушкин в Болдине бывал. История в картинках (в двух частях),Как Пушкин в Болдине бывал. История в картинках (в двух частях) 09 сентября – 01 ноября 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/pushkin/index.php?lang=ru
Pushkin Museum,От Дюрера до Матисса. Избранные рисунки из собрания ГМИИ им. А.С. Пушкина,От Дюрера до Матисса. Избранные рисунки из собрания ГМИИ им. А.С. Пушкина 10 июля – 12 ноября 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/drawings/index.php?lang=ru
Pushkin Museum,Тату,Тату 10 июля – 27 сентября 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/tattoo/index.php?lang=ru
Pushkin Museum,Святослав Рихтер в кругу друзей. Москва — Коктебель,Святослав Рихтер в кругу друзей. Москва — Коктебель 20 марта – 12 ноября 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2020/exhibitions/richter/index.php?lang=ru
Pushkin Museum,Томас Гейнсборо,Томас Гейнсборо 03 декабря 2019 – 01 марта 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/gainsborough/index.php?lang=ru
Pushkin Museum,"Дагеротип, автохром, поляроид. 1/1","Дагеротип, автохром, поляроид. 1/1 19 ноября 2019 – 26 января 2020",2020,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/photography/index.php?lang=ru
Pushkin Museum,Годы странствий Святослава Рихтера. Австрия – Германия,Годы странствий Святослава Рихтера. Австрия – Германия 13 ноября 2019 – 16 февраля 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/germany/index.php?lang=ru
Pushkin Museum,Князья Юсуповы и Цветаевский музей,Князья Юсуповы и Цветаевский музей 29 октября 2019 – 12 января 2020,2020,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/tsvetaev/index.php?lang=ru
Pushkin Museum,Восточный джаз / East West Jazz,Восточный джаз / East West Jazz 01 октября – 15 ноября 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/jazz/index.php?lang=ru
Pushkin Museum,«Русский Йорданс». Картины и рисунки Якоба Йорданса из собраний России,«Русский Йорданс». Картины и рисунки Якоба Йорданса из собраний России 17 сентября – 30 ноября 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/jordaens/index.php?lang=ru
Pushkin Museum,Щукин. Биография коллекции,Щукин. Биография коллекции 19 июня – 15 сентября 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/shchukin/index.php?lang=ru
Pushkin Museum,Коллекция Fondation Louis Vuitton*. Избранное,Коллекция Fondation Louis Vuitton*. Избранное 19 июня – 29 сентября 2019,2019,pre_2022,https://pushkinmuseum.art/events/archive/2019/exhibitions/louisvuitton/index.php?lang=ru
