page_number,link_text,event_url
6,ГРАУНД Солянка,https://artguide.ru/addresses/885
6,Музей древнерусской культуры и искусства им. Андрея Рублева,https://artguide.ru/addresses/902
6,Московский музей современного искусства на Петровке,https://artguide.ru/addresses/912
7,Дом Наркомфина,https://artguide.ru/addresses/1370
7,Всероссийский музей декоративного искусства,https://artguide.ru/addresses/542
7,Мемориальная квартира Святослава Рихтера,https://artguide.ru/addresses/1314
8,Российский национальный музей музыки,https://artguide.ru/addresses/1437
8,Интерьерное ателье «Частная резиденция»,https://artguide.ru/addresses/1436
8,Манеж,https://artguide.ru/addresses/887
8,Галерея ArtStory,https://artguide.ru/addresses/920
9,Altmans Gallery,https://artguide.ru/addresses/1074
9,Фонд культуры «ЕКАТЕРИНА»,https://artguide.ru/addresses/877
10,Галерея Ruarts,https://artguide.ru/addresses/824
10,Дом русского зарубежья им. Александра Солженицына,https://artguide.ru/addresses/1364
11,Государственный музей истории ГУЛАГа,https://artguide.ru/addresses/512
11,Дом Н.В. Гоголя — мемориальный музей и научная библиотека,https://artguide.ru/addresses/1419
12,Культурный центр «Солодовня»,https://artguide.ru/addresses/1412
12,Малый зал Российской государственной библиотеки для молодежи,https://artguide.ru/addresses/1410
12,Дом творчества Переделкино,https://artguide.ru/addresses/1334
12,Выставочный зал Московской государственной консерватории имени П.И. Чайковского,https://artguide.ru/addresses/96
12,Галерея FineArt,https://artguide.ru/addresses/1411
13,másla lissé artist run space,https://artguide.ru/addresses/1408
13,Центр Гиляровского,https://artguide.ru/addresses/1264
13,Art x Fashion Gallery,https://artguide.ru/addresses/1403
13,Образовательный центр ММОМА в Ермолаевском переулке,https://artguide.ru/addresses/911
13,Центр визуальной культуры Béton,https://artguide.ru/addresses/1380
14,"fail again, fail better",https://artguide.ru/addresses/1392
14,«Новое крыло» Дома Гоголя,https://artguide.ru/addresses/956
14,Музей-усадьба «Кусково»,https://artguide.ru/addresses/1386
15,"АРТ4, музей современного искусства",https://artguide.ru/addresses/915
15,Фонд Ruarts,https://artguide.ru/addresses/1329
15,"Триумф, галерея",https://artguide.ru/addresses/727
15,159F Gallerie (Cube.Moscow),https://artguide.ru/addresses/1385
15,Музей AZ (Музей Анатолия Зверева),https://artguide.ru/addresses/1054
15,Государственный музей А.С. Пушкина,https://artguide.ru/addresses/706
16,Государственный центральный музей кино,https://artguide.ru/addresses/1363
18,Галерея К35,https://artguide.ru/addresses/847
18,"pop/off/art, галерея",https://artguide.ru/addresses/831
18,Галерея сцена/szena,https://artguide.ru/addresses/1281
18,Новый Манеж,https://artguide.ru/addresses/884
18,"Фабрика, Центр творческих индустрий",https://artguide.ru/addresses/883
18,Государственный исторический музей,https://artguide.ru/addresses/899
19,Никола-Ленивец,https://artguide.ru/addresses/1000
20,Cube.Moscow,https://artguide.ru/addresses/1292
20,Музеи Московского Кремля,https://artguide.ru/addresses/747
20,Государственный Дарвиновский музей,https://artguide.ru/addresses/710
20,Дом И.С. Остроухова в Трубниках,https://artguide.ru/addresses/1341
