Unnamed: 0,title,date,url
126,Алексей Ваулин. Живая материя,27 апреля 2023,https://rusmuseum.ru/exhibitions/archive/aleksey-vaulin-zhivaya-materiya/
127,Портрет Г.Р. Державина из Иркутска в Санкт-Петербурге,21 апреля 2023,https://rusmuseum.ru/exhibitions/archive/portret-g-r-derzhavina-iz-irkutska-v-sankt-peterburge/
128,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/leonid-shervud-1871-1954/
129,«Отечество славлю!»,8 апреля 2023,https://rusmuseum.ru/exhibitions/archive/otechestvo-slavlyu-/
130,Открытие выставки «Весна. Любовь. Искусство».,8 марта 2023,https://rusmuseum.ru/exhibitions/archive/otkrytie-vystavki-vesna-lyubov-iskusstvo-/
131,Параллельные вселенные. От абстракции к артефакту. Коллекция Наталии Опалевой,3 марта 2023,https://rusmuseum.ru/exhibitions/archive/parallelnye-vselennye-ot-abstraktsii-k-artefaktu-kollektsiya-natalii-opalevoy/
132,Николай Суетин. Илья Чашник,2 марта 2023,https://rusmuseum.ru/exhibitions/archive/nikolay-suetin-ilya-chashnik/
133,Реставрация картины и исторической рамы. Константин Маковский. «Народное гулянье во время масленицы на Адмиралтейской площади в Петербурге»,23 февраля 2023,https://rusmuseum.ru/exhibitions/archive/restavratsiya-kartiny-i-istoricheskoy-ramy-konstantin-makovskiy-narodnoe-gulyane-vo-vremya-maslenits/
134,"Наталия Земляная. Сотворение мира. Живопись, графика",16 февраля 2023,https://rusmuseum.ru/exhibitions/archive/nataliya-zemlyanaya-sotvorenie-mira/
135,Константин Федорович Богаевский,10 февраля 2023,https://rusmuseum.ru/exhibitions/archive/konstantin-fedorovich-bogaevskiy/
136,Предметный разговор,4 февраля 2023,https://rusmuseum.ru/exhibitions/archive/predmetnyy-razgovor-natyurmort-/
137,«Радость жизни». Работы Александра Самохвалова 1920-х - 1930-х гг.,26 января 2023,https://rusmuseum.ru/exhibitions/archive/radost-zhizni-raboty-aleksandra-samokhvalova-1920-kh-1930-kh-gg/
138,Выставка-лаборатория «Предмет. Силуэт. Форма»,28 декабря 2022,https://rusmuseum.ru/exhibitions/archive/vystavka-laboratoriya-predmet-siluet-forma/
139,Коллекция советских педальных автомобилей,28 декабря 2022,https://rusmuseum.ru/exhibitions/archive/kollektsiya-sovetskikh-pedalnykh-avtomobiley/
140,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/risunki-i-akvareli-xviii-vek/
141,Образ святого Георгия Победоносца в Древней Руси. Памяти Татьяны Борисовны Вилинбаховой,22 декабря 2022,https://rusmuseum.ru/exhibitions/archive/svyatoy-georgiy-pobedonosets/
142,Дом и семья. Картины мирной жизни,16 декабря 2022,https://rusmuseum.ru/exhibitions/archive/dom-i-semya-v-russkom-iskusstve-xix-xx-vekov/
143,Интерактивная выставка «Образы истории в изобразительном искусстве»,13 декабря 2022,https://rusmuseum.ru/exhibitions/archive/interaktivnaya-vystavka-obrazy-istorii-v-izobrazitelnom-iskusstve/
144,Евгений Ромашко,25 ноября 2022,https://rusmuseum.ru/exhibitions/archive/evgeniy-romashko/
145,"«По странам и континентам»,",25 ноября 2022,https://rusmuseum.ru/exhibitions/archive/po-stranam-i-kontinentam-/
146,Художник К.Я. Афанасьев,11 ноября 2022,https://rusmuseum.ru/exhibitions/archive/khudozhnik-k-ya-afanasev/
147,О.А. Почтенный. Дорогами северных традиций,24 октября 2022,https://rusmuseum.ru/exhibitions/archive/o-a-pochtennyy-dorogami-severnykh-traditsiy/
148,Картины военной жизни в отечественном искусстве XVI-XX веков,20 октября 2022,https://rusmuseum.ru/exhibitions/archive/kartiny-voennoy-zhizni/
149,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/peterburg-mikhaila-makhaeva/
150,Мультимедийная выставка «Петр Первый. Силы духа необъятной…»,12 октября 2022,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-petr-pervyy-sily-dukha-neobyatnoy-/
151,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/vnutri-kartiny-n-rerikha-zamorskie-gosti-10/
152,Наум Могилевский. Скульптура и графика,6 октября 2022,https://rusmuseum.ru/exhibitions/archive/naum-mogilevskiy-skulptura-i-grafika/
153,Игорь Чолария. Укрощение хаоса,23 сентября 2022,https://rusmuseum.ru/exhibitions/archive/igor-cholariya-ukroshchenie-khaosa/
154,Выставка-лаборатория «Цвет и краска»,17 сентября 2022,https://rusmuseum.ru/exhibitions/archive/vystavka-laboratoriya-tsvet-i-kraska-/
155,"Леонид Колибаба. Скульптура, графика",16 сентября 2022,https://rusmuseum.ru/exhibitions/archive/leonid-kolibaba-skulptura-grafika/
156,«Портрет молодого человека в зеленом кафтане» кисти Ивана Никитина,1 сентября 2022,https://rusmuseum.ru/exhibitions/archive/portret-molodogo-cheloveka-v-zelenom-kaftane-kisti-ivana-nikitina-/
157,"﻿Кресло, стул, табурет в русском искусстве XVIII-XX веков",18 августа 2022,https://rusmuseum.ru/exhibitions/archive/kreslo-stul-taburet-v-russkom-iskusstve-xviii-xx-vekov/
158,Романтики и классицисты. Русский рисунок первой половины XIX века,17 августа 2022,https://rusmuseum.ru/exhibitions/archive/romantiki-i-klassitsisty-russkiy-risunok-pervoy-poloviny-xix-veka/
159,Сказочные мотивы в произведениях искусства.,14 июля 2022,https://rusmuseum.ru/exhibitions/archive/skazochnye-motivy/
160,Современное российское искусство – языком анимации,1 июля 2022,https://rusmuseum.ru/exhibitions/archive/sovremennoe-rossiyskoe-iskusstvo-yazykom-animatsii/
161,Борис Кустодиев и Мстислав Добужинский. Композиции для Городского Училищного дома имени Петра Великого. 1910-1911,24 июня 2022,https://rusmuseum.ru/exhibitions/archive/boris-kustodiev-i-mstislav-dobuzhinskiy-kompozitsii-dlya-gorodskogo-uchilishchnogo-doma-imeni-petra-/
